"Institution","Course Number","Short Title1","Course Title","Instructors2","Course Launch Date"
"MITx","3.054.1x","CellSolid-a","Cellular Solids 1: Structures, Properties and Engineering Applications","Lorna J. Gibson","1/27/2016"
"MITx","3.054.2x","CellSolid-b","Cellular Solids Part 2: Applications in Medicine","Lorna J. Gibson","4/8/2016"
"MITx","3.054.3x","CellSolid-c","Cellular Solids Part 3: Applications in Nature","Lorna J. Gibson","5/11/2016"
"MITx","8.01x","Mechanics","Classical Mechanics","Walter Lewin","9/9/2013"
"MITx","8.02x","E&M","Electricity and Magnetism","Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, and Isaac Chuang","2/18/2013"
"MITx","8.05x","QPhysics-1","Mastering Quantum Mechanics","Barton Zwiebach","2/10/2015"
"MITx","8.EFTx","FieldTheory","Effective Field Theory","Iain Stewart","9/16/2014"
"MITx","8.MReV","MechRev-1","Mechanics ReView","David Pritchard and Colin Fredericks","6/1/2013"
"MITx","8.MReV","MechRev-2","Mechanics Review","David Pritchard","5/29/2014"
"MITx","8.MechCx","APMechRev-1","Advanced Introductory Classical Mechanics","David E. Pritchard","1/8/2015"
"MITx","8.MechCx","APMechRev-3","Advanced Introductory Classical Mechanics","David E. Pritchard, Chris Chudzicki, Zhongzhou Chen","1/7/2016"
"MITx","8.MechCx","APMechRev-2","Advanced Introductory Classical Mechanics","David E. Pritchard","5/28/2015"
"MITx","8.421.1x","AtomicPhys-a","Atomic and Optical Physics 1 - Part 1: Resonance","Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","9/21/2015"
"MITx","8.421.2x","AtomicPhys-b","Atomic and Optical Physics I - Part 2: Atomic structure and atoms in external field","Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","10/19/2015"
"MITx","8.421.3x","AtomicPhys-c","Atomic and Optical Physics I -Part 3: Atom-Light Interactions 1 -- Matrix elements and quantized field","Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","11/16/2015"
"MITx","8.421.4x","AtomicPhys-d","Atomic and Optical Physics I - Part 4: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions","Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","12/14/2015"
"MITx","8.421.5x","AtomicPhys-e","Atomic and Optical Physics I - Part 5: Coherence","Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","1/15/2016"
"MITx","16.00x","AAIntro","Introduction to Aerospace Engineering: Astronautics and Human Spaceflight","Jeffrey Hoffman","3/3/2015"
"MITx","16.101x","Aerodyn","Introduction to Aerodynamics","David L. Darmofal","9/28/2015"
"MITx","16.110x","AAFlight-1","Flight Vehicle Aerodynamics","Mark Drela","3/5/2014"
"MITx","16.110x","AAFlight-2","Flight Vehicle Aerodynamics","Mark Drela, Alejandra Uranga","2/9/2016"
"MITx","6.00.1x","CS-a4","Introduction to Computer Science & Programming","Eric Grimson, John Guttag","2/19/2014"
"MITx","6.00.1x","CS-a5","Introduction to Computer Science & Programming","Eric Grimson, John Guttag","6/11/2014"
"MITx","6.00.1x","CS-a6","Introduction to Computer Science and Programming Using Python","Eric Grimson","8/27/2014"
"MITx","6.00.1x","CS-a3","Introduction to Computer Science & Programming","Eric Grimson, John Guttag","10/16/2013"
"MITx","6.00.1x","CS-a8","Introduction to Computer Science & Programming","Eric Grimson, John Guttag","6/10/2015"
"MITx","6.00.2x","CS-b4","Introduction to Computational Thinking and Data Science","Eric Grimson","10/21/2014"
"MITx","6.00.2x","CS-b3","Introduction to Computational Thinking and Data Science","Eric Grimson, John Guttag","3/5/2014"
"MITx","6.00.2x","CS-b5","Introduction to Computational Thinking and Data Science","Eric Grimson","3/4/2015"
"MITx","6.00x","CS-1","Introduction to Computer Science and Programming - Fall","Eric Grimson, John Guttag, and Chris Terman","9/26/2012"
"MITx","6.00x","CS-2","Introduction to Computer Science and Programming - Spring","Larry Rudolph","2/4/2013"
"MITx","24.00x","Philosophy-2","Introduction to Philosophy: God, Knowledge and Consciousness","Caspar Hare","9/30/2014"
"MITx","24.00x","Philosophy-1","Introduction to Philosophy - God, Knowledge and Consciousness","Caspar Hare","10/1/2013"
"MITx","24.09x","MindMach","Philosophy: Minds and Machines","Alex Byrne","11/17/2015"
"MITx","24.118x","Paradox","Paradox and Infinity","Augustin Rayo","6/9/2015"
"MITx","4.605x","Architecture-2","A Global History of Architecture","Mark Jarzombek","9/23/2014"
"MITx","4.605x","Architecture-3","A Global History of Architecture","Mark Jarzombek","9/22/2015"
"MITx","Launch.x","Entrepreneur-1","Becoming an Entrepreneur","Laurie Stach","1/25/2016"
"MITx","10.03x","Biologic-3","Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing","J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","6/14/2016"
"MITx","7.28.1x1","MolecBio-a3","Molecular Biology - Part 1: DNA Replication and Repair","Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","6/7/2016"
"MITx","7.QBWx","QuantBio-3","Quantitative Biology Workshop","Jeff Gore, Paul Blainey, Eric S. Lander, Ernest Fraenkel, Mary Ellen Wiltrout, Nathaniel Schafheimer","3/29/2016"
"MITx","21W.789x","BuildMobile-a3","Mobile Application Experiences Part 1: From a Domain to an App Idea","Frank Bentley, Ed Barrett","2/1/2016"
"MITx","21W.789.2x","BuildMobile-b3","Mobile Application Experiences Part 2: Mobile App Design","Frank Bentley, Ed Barrett","2/29/2016"
"MITx","21W.789.3x","BuildMobile-c3","Mobile Application Experiences Part 3: Building Mobile Apps","Frank Bentley, Ed Barrett","3/28/2016"
"MITx","21W.789.4x","BuildMobile-d3","Mobile Application Experiences Part 4: Understanding Use","Frank Bentley, Ed Barrett","4/25/2016"
"MITx","21W.789.5x","BuildMobile-e3","Mobile Application Experiences Part 5: Reporting Research Findings","Frank Bentley, Ed Barrett","5/23/2016"
"MITx","3.15.1x","ElecMat-a2","Electronic Materials and Devices","Caroline Ross","5/25/2016"
"MITx","3.15.2x","ElecMat-b2","Optical Materials and Devices","Caroline Ross","6/29/2016"
"MITx","3.15.3x","ElecMat-c2","Magnetic Materials and Devices","Caroline Ross","8/3/2016"
"MITx","CTL.SC2x","Logistics-b3","Supply Chain Design","Chris Caplice, Yossi Sheffi, Jarrod Goentzel, James Blayney Rice Jr.","5/18/2016"
"MITx","11.126x","EdGameIntro-2","Introduction to Game Design","Eric Klopfer, Philp Tan, Sara Verrilli","4/27/2016"
"MITx","11.132x","EdTech-a2","Design and Development of Educational Technology","Eric Klopfer, Scot Osterweil, Judy Perry","1/27/2016"
"MITx","11.133x","EdTech-b2","Implementation and Evaluation of Educational Technology","Eric Klopfer, Elizabeth Huttner-Loan","7/14/2016"
"MITx","11.405x","BankingSoc","Just Money: Banking as if Society Mattered","J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis","4/19/2016"
"MITx","12.340x","Climate-2","Global Warming Science","Kerry Emanuel, Dan Cziczo, David McGee","2/16/2016"
"MITx","JPAL101x","EvalSocProg-5","Evaluating Social Programs","Rachel Glennerster, Marc Shotland","5/2/2016"
"MITx","6.00.1x","CS-a11","Introduction to Computer Science and Programming Using Python","Eric Grimson, John Guttag, Ana Bell","6/7/2016"
"MITx","6.00.2x","CS-b7","Introduction to Computational Thinking and Data Science","Eric Grimson, John Guttag, Ana Bell","3/2/2016"
"MITx","6.002.1x","Circuits-a7","Circuits and Electronics 1: Basic Circuit Analysis","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","6/28/2016"
"MITx","6.002.2x","Circuits-b7","Circuits and Electronics 2: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","6/28/2016"
"MITx","6.041x","StatProb-3","Introduction to Probability - The Science of Uncertainty","John Tsitsiklis, Patrick Jaillet, Aliaa Atwi, Dimitri Bertsekas, Qing He, Jimmy Li, Jagdish Ramakrishnan, Katie Szeto, Kuang Xu","2/2/2016"
"MITx","6.302.0x","Control-b","Introduction to Control System Design - A First Look","Jacob White, Joe Steinmeyer","8/1/2016"
"MITx","6.302.1x","Control-c","Introduction to State Space Control","Jacob White, Joe Steinmeyer","8/1/2016"
"MITx","15.071x","SloanAnlytcs-4","The Analytics Edge","Dimitris Bertsimas, Allison O'Hair, John Silberholz, Iain Dunning, Angie King, Velibor Misic, Nataly Youssef, Alex Weinstein, Jerry Kung","4/12/2016"
"MITx","15.662x","AmDream-2","Shaping the Future of Work","Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi","3/28/2016"
"MITx","Launch.x","Entrepreneur-2","Becoming an Entrepreneur","Laurie Stach","6/27/2016"
"MITx","2.01x","Structures-3","Elements of Structures","Simona Socrate, Alexie M. Kolpak","6/22/2016"
"MITx","8.05.1x","QPhysics-a2","Mastering Quantum Mechanics Part 1: Wave Mechanics","Barton Zwiebach, Saif Rayyan","2/17/2016"
"MITx","8.05.2x","QPhysics-b2","Mastering Quantum Mechanics Part 2: Quantum Dynamics","Barton Zwiebach, Saif Rayyan","3/23/2016"
"MITx","8.05.3x","QPhysics-c2","Mastering Quantum Mechanics Part 3: Entanglement and Angular Momentum","Barton Zwiebach, Saif Rayyan","4/27/2016"
